Year,Application ,Admision ,Academic,student Portal
2026,55.94,65.99,96.53,80.23
2027,56.02,65.12,96.63,80.12
2028,56.1,64.25,96.73,80.0
2029,56.18,63.38,96.83,79.89
2030,56.26,62.5,96.92,79.77
2031,56.34,61.63,97.02,79.66
2032,56.42,60.76,97.12,79.55
2033,56.5,59.89,97.22,79.43
2034,56.58,59.02,97.32,79.32
2035,56.67,58.15,97.42,79.21
