Year,Application ,Admision ,Academic,student Portal
2026,55.21,74.15,94.94,75.3
2027,55.21,74.15,94.94,75.3
2028,55.21,74.15,94.94,75.3
2029,55.21,74.15,94.94,75.3
2030,55.21,74.15,94.94,75.3
2031,55.21,74.15,94.94,75.3
2032,55.21,74.15,94.94,75.3
2033,55.21,74.15,94.94,75.3
2034,55.21,74.15,94.94,75.3
2035,55.21,74.15,94.94,75.3
